DN,D,K,L,n,d,A_h,B1,B2,B3,c1,c2,c3,c4,E,F,F,F,F,G_max,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,
10,90,60,14,4,M12,17.2,18.0,21,31,14,16,16,16,3,12,5,2,2.5,—,22,35,6,35,35,7,28,30,28,4,1.8,
15,95,65,14,4,M12,21.3,22.0,25,35,14,16,16,16,3,12,5,2,2.5,—,22,38,6,38,38,7,32,35,32,4,2.0,
20,105,75,14,4,M12,26.9,27.5,31,42,16,18,18,18,4,14,6,2.5,3,—,26,40,6,40,40,8,40,45,40,4,2.3,
25,115,85,14,4,M12,33.7,34.5,38,49,16,18,18,18,4,14,7,2.5,3,—,28,40,6,40,40,10,46,52,50,4,2.6,
32,140,100,18,4,M16,42.4,43.5,47,59,18,18,18,18,5,14,8,3,3,—,30,42,6,42,42,12,56,60,60,6,2.6,
40,150,110,18,4,M16,48.3,49.5,53,67,18,18,18,18,5,14,8,3,3,—,32,45,7,45,45,15,64,70,70,6,2.6,
50,165,125,18,4,M16,60.3,61.5,65,77,20,18,18,18,5,16,8,3,3,—,28,45,8,45,45,20,74,84,84,6,2.9,
65,185,145,18,8,M16,76.1,77.5,81,96,20,18,18,18,6,16,8,3,3,55,32,45,10,45,45,20,92,104,104,6,2.9,
80,200,160,18,8,M16,88.9,90.5,94,108,20,20,20,20,6,16,10,3,3,70,34,50,10,50,50,25,105,118,120,6,3.2,
100,220,180,18,8,M16,114.3,116.0,120,134,22,20,20,20,6,18,10,4,4,90,40,52,12,52,52,25,131,140,140,8,3.6,
125,250,210,18,8,M16,139.7,141.5,145,162,22,22,22,22,6,18,10,4,4,115,44,55,12,55,55,25,156,168,170,8,4.0,
150,285,240,22,8,M20,168.3,170.5,174,188,24,22,22,22,6,20,10,5,5,140,44,55,12,55,55,25,184,195,190,10,4.5,
200,340,295,22,12,M20,219.1,221.5,226,240,26,24,24,24,6,20,11,6,6,190,44,62,16,62,62,30,235,246,246,10,6.3,
250,405,355,26,12,M24,273.0,276.5,281,294,29,26,26,26,8,22,12,10,—,235,46,70,16,70,68,—,292,298,296,12,6.3,
300,460,410,26,12,M24,323.9,327.5,333,348,32,28,28,28,8,24,14,10,—,285,46,78,16,78,68,—,344,350,350,12,7.1,
350,520,470,26,16,M24,355.6,359.5,365,400,35,30,30,30,8,26,18,10,—,330,57,82,16,82,68,—,390,400,410,12,8.0,
400,580,525,30,16,M27,406.4,411.0,416,454,38,32,32,32,8,28,20,10,—,380,63,85,16,85,72,—,445,456,458,12,8.0,
450,640,585,30,20,M27,457.0,462.0,467,500,42,34,40,40,8,30,22,—,—,425,68,83,16,87,—,—,490,502,516,12,8.0,
500,715,650,33,20,M30,508.0,513.5,519,556,46,36,44,44,8,32,22,—,—,475,73,84,16,90,—,—,548,559,576,12,8.0,
600,840,770,36,20,M33,610.0,616.5,622,660,55,40,54,54,8,32,24,—,—,575,83,88,18,95,—,—,670,658,690,12,8.8,
700,910,840,36,24,M33,711.0,-999,721,—,63,40,-999,58,8,—,26,—,—,670,83,104,18,100,—,—,755,760,760,12,—,
800,1025,950,39,24,M36,813.0,-999,824,—,74,41,-999,62,8,—,28,—,—,770,90,108,20,105,—,—,855,864,862,12,—,
